Date,Open,Volume,Percent growth,Trend
9/1/2017,2474.419922,66624120000,0.018905453,1
10/1/2017,2521.199951,71088550000,0.024595435,1
11/1/2017,2583.209961,73416960000,0.023958616,1
12/1/2017,2645.100098,65531700000,0.014604318,1
1/1/2018,2683.72998,77318690000,0.049453548,1
2/1/2018,2816.449951,79933970000,-0.035942403,-1
3/1/2018,2715.219971,76803890000,-0.030115431,-1
4/1/2018,2633.449951,70194700000,0.003611236,0
5/1/2018,2642.959961,76011820000,0.02865726,1
6/1/2018,2718.699951,77891360000,-0.005057564,-1
7/1/2018,2704.949951,64898300000,0.042965664,1
8/1/2018,2821.169922,69523070000,0.026864755,1
9/1/2018,2896.959961,63031510000,0.010124433,1
10/1/2018,2926.290039,91930980000,-0.071322377,-1
11/1/2018,2717.580078,80620020000,0.026832667,1
12/1/2018,2790.5,84162180000,-0.112359806,-1
1/1/2019,2476.959961,80859870000,0.090982539,1
2/1/2019,2702.320068,70638770000,0.035487988,1
3/1/2019,2798.219971,79159660000,0.018014993,1
4/1/2019,2848.629883,70090370000,0.036403534,1
5/1/2019,2952.330078,77250740000,-0.068014092,-1
6/1/2019,2751.530029,71250630000,0.07991186,1
7/1/2019,2971.409912,70599470000,0.002998629,0
8/1/2019,2980.320068,80269220000,-0.02392698,-1
9/1/2019,2909.01001,74178980000,0.02567194,1
10/1/2019,2983.689941,77720640000,0.022465481,1
11/1/2019,3050.719971,72410620000,0.030527262,1
12/1/2019,3143.850098,72325540000,0.032068903,1
1/1/2020,3244.669922,77287980000,-0.002776865,-1
2/1/2020,3235.659912,84436590000,-0.080781012,-1
3/1/2020,2974.280029,1.62E+11,-0.160105957,-1
4/1/2020,2498.080078,1.24E+11,0.148518061,1
5/1/2020,2869.090088,1.07E+11,0.059144166,1
6/1/2020,3038.780029,1.31E+11,0.022094358,1
7/1/2020,3105.919922,96928130000,0.058707273,1
8/1/2020,3288.26001,82466520000,0.066655292,1
9/1/2020,3507.439941,92310780000,-0.034660558,-1
10/1/2020,3385.870117,89938980000,-0.02648364,-1
11/1/2020,3296.199951,1.01E+11,0.106082814,1
12/1/2020,3645.870117,96375680000,0.032568354,1
1/1/2021,3764.610107,1.06E+11,-0.008882775,-1
2/1/2021,3731.169922,99082320000,0.02984053,1
3/1/2021,3842.51001,1.22E+11,0.039107255,1
4/1/2021,3992.780029,83124090000,0.049890039,1
5/1/2021,4191.97998,88321860000,0.005854045,1
6/1/2021,4216.52002,1.03E+11,0.019971436,1
7/1/2021,4300.72998,84255620000,0.024677179,1
8/1/2021,4406.859863,80500760000,0.027670483,1
9/1/2021,4528.799805,85528860000,-0.046731951,-1
10/1/2021,4317.160156,80253600000,0.067975231,1
11/1/2021,4610.620117,88268840000,-0.00169181,-1
12/1/2021,4602.819824,92750180000,0.038089762,1
1/1/2022,4778.140137,95562890000,-0.054115263,-1
2/1/2022,4519.569824,92667710000,-0.034611632,-1
3/1/2022,4363.140137,1.24E+11,0.040608296,1
4/1/2022,4540.319824,90367840000,-0.090238128,-1
5/1/2022,4130.609863,1.09E+11,0.004640942,1
6/1/2022,4149.779785,1.06E+11,-0.088867314,-1
7/1/2022,3781,81688320000,0.08764345,1
8/1/2022,4112.379883,92252350000,-0.04271247,-1
9/1/2022,3936.72998,94241020000,-0.08305115,-1
10/1/2022,3609.780029,95823760000,0.080894129,1
11/1/2022,3901.790039,92671910000,0.0475038,1
12/1/2022,4087.139893,85249330000,-0.057216014,-1
1/1/2023,3853.290039,80763810000,0.056258425,1
2/1/2023,4070.070068,80392280000,-0.026223131,-1
3/1/2023,3963.340088,1.13E+11,0.035036132,1
4/1/2023,4102.200195,70861260000,0.015745171,1
5/1/2023,4166.790039,88929200000,0.003897424,0
6/1/2023,4183.029785,87983140000,0.063936957,1
7/1/2023,4450.47998,75063200000,0.028839608,1
8/1/2023,4578.830078,86840820000,-0.010533254,-1
9/1/2023,4530.600098,73482980000,-0.054315118,-1
10/1/2023,4284.52002,83519460000,-0.019430415,-1
11/1/2023,4201.27002,80970570000,0.085250449,1
12/1/2023,4559.430176,81530670000,0.040744131,1
1/1/2024,4745.200195,81737880000,0.024426718,1
2/1/2024,4861.109863,82066930000,0.048836564,1
3/1/2024,5098.509766,86299510000,0.031275894,1
4/1/2024,5257.970215,81747170000,-0.043541599,-1
5/1/2024,5029.029785,86849720000,0.053314482,1
6/1/2024,5297.149902,76025620000,0.032834671,1
7/1/2024,5471.080078,80160390000,0.012202301,1
8/1/2024,5537.839844,81097300000,0.015538603,1
9/1/2024,5623.890137,79564830000,0.023798446,1
10/1/2024,5757.72998,82412430000,-0.005993641,-1
11/1/2024,5723.220215,84101980000,0.055369117,1
12/1/2024,6040.109863,86064900000,-0.022656889,-1
1/1/2025,5903.259766,88639380000,0.011246352,1
